;;;;;;;;"Below matrix has two sections. 
1. On the left side extraction of R0 material - numbers here represent density of specified material at given planet - useful for extraction (R0 -> P1) planets
2. On the right side extraction of two types of R0 needed for production of specific P2 - numbers here represent density of less dense out of the two R0 needed - that's useful for selecting planet for diret R0 -> P2 production";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Constellation;System;Planet;Type;Radius [km];POCO Tax Rate [%];POCO Owner;Aqueous Liquids;Water;Autotrophs;Industrial Fibers;Base Metals;Reactive Metals;Carbon Compounds;Biofuels;Complex Organisms;Proteins;Felsic Magma;Silicon;Heavy Metals;Toxic Metals;Ionic Solutions;Electrolytes;Microorganisms;Bacteria;Noble Gas;Oxygen;Noble Metals;Precious Metals;Non-CS Crystals;Chiral Structures;Planktic Colonies;Biomass;Reactive Gas;Oxidizing Compound;Suspended Plasma;Plasmoids;;Biocells;Construction Blocks;Consumer Electronics;Coolant;Enriched Uranium;Fertilizer;Genetically Enhanced Livestock;Livestock;Mechanical Parts;Microfiber Shielding;Miniature Electronics;Nanites;Oxides;Polyramids;Polytextiles;Rocket Fuel;Silicate Glass;Superconductors;Supertensil Plastics;Synthetic Oil;Test Cultures;Transmitter;Viral Agent;Water-Cooled CPU;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;max -> ;120;;87;;84;;113;;74;;78;;106;;62;;104;;81;;72;;82;;69;;41;;79;;;56;47;75;57;49;71;64;71;56;0;73;68;41;0;87;51;0;76;43;62;79;57;69;83;max P2;;
;MINOTAUR;57-KJB;1;Barren;2 570;3;INIT;36;;;;53;;69;;;;;;;;;;65;;;;32;;;;;;;;;;;32;;;;;;;;32;;;53;;;;;;;;;36;;;36;53;;
;MINOTAUR;57-KJB;2;Gas;18 950;3;INIT;47;;;;60;;;;;;;;;;54;;;;64;;;;;;;;33;;;;;;;;47;;;;;;;;;33;;;;;;;54;;;;47;54;;
;MINOTAUR;57-KJB;3;Lava;11 860;3;INIT;;;;;38;;;;;;47;;66;;;;;;;;;;68;;;;;;49;;;;38;66;;;;;;;;47;;;;;;;;;;;49;;;66;;
;MINOTAUR;57-KJB;4;Barren;11 370;3;INIT;32;;;;58;;75;;;;;;;;;;63;;;;43;;;;;;;;;;;43;;;;;;;;43;;;58;;;;;;;;;32;;;32;58;;
;MINOTAUR;57-KJB;5;Gas;16 400;3;INIT;52;;;;58;;;;;;;;;;52;;;;64;;;;;;;;27;;;;;;;;52;;;;;;;;;27;;;;;;;52;;;;52;52;;
;MINOTAUR;57-KJB;6;Gas;18 080;3;INIT;48;;;;59;;;;;;;;;;57;;;;64;;;;;;;;22;;;;;;;;48;;;;;;;;;22;;;;;;;57;;;;48;57;;
;MINOTAUR;57-KJB;7;Oceanic;4 580;3;INIT;103;;;;;;49;;65;;;;;;;;65;;;;;;;;57;;;;;;;;;;;;65;57;49;;;;;;;;;;;;;65;;57;;65;;
;MINOTAUR;V6-NY1;1;Barren;2 940;1;INIT;33;;;;64;;81;;;;;;;;;;59;;;;42;;;;;;;;;;;42;;;;;;;;42;;;59;;;;;;;;;33;;;33;59;;
;MINOTAUR;V6-NY1;2;Storm;4 550;3;INIT;66;;;;68;;;;;;;;;;40;;;;55;;;;;;;;;;62;;;;;;40;;;;;;;;;;;;40;;62;;40;;;;66;66;;
;MINOTAUR;V6-NY1;3;Barren;6 460;1;INIT;36;;;;61;;83;;;;;;;;;;59;;;;45;;;;;;;;;;;45;;;;;;;;45;;;59;;;;;;;;;36;;;36;59;;
;MINOTAUR;V6-NY1;4;Temperate;5 110;1;INIT;56;;69;;;;93;;38;;;;;;;;60;;;;;;;;;;;;;;;;;;;;38;;38;;;;;;;69;;;;;;56;;;;69;;
;MINOTAUR;V6-NY1;5;Gas;12 890;3;INIT;52;;;;60;;;;;;;;;;56;;;;65;;;;;;;;20;;;;;;;;52;;;;;;;;;20;;;;;;;56;;;;52;56;;
;MINOTAUR;V6-NY1;6;Temperate;4 600;1;INIT;4;;66;;;;86;;65;;;;;;;;97;;;;;;;;;;;;;;;;;;;;65;;65;;;;;;;66;;;;;;4;;;;66;;
;MINOTAUR;V6-NY1;7;Temperate;9 600;1;INIT;92;;65;;;;86;;20;;;;;;;;30;;;;;;;;;;;;;;;;;;;;20;;20;;;;;;;65;;;;;;30;;;;65;;
;MINOTAUR;V6-NY1;8;Gas;18 170;3;INIT;51;;;;62;;;;;;;;;;57;;;;67;;;;;;;;28;;;;;;;;51;;;;;;;;;28;;;;;;;57;;;;51;57;;
;MINOTAUR;V6-NY1;9;Gas;13 550;3;INIT;53;;;;59;;;;;;;;;;56;;;;65;;;;;;;;34;;;;;;;;53;;;;;;;;;34;;;;;;;56;;;;53;56;;
;MINOTAUR;V6-NY1;10;Ice;8 190;3;INIT;96;;;;;;;;;;;;92;;;;42;;37;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;37;;42;;42;;42;;
;MINOTAUR;OL3-78;1;Barren;3 640;3;INIT;33;;;;58;;78;;;;;;;;;;60;;;;44;;;;;;;;;;;44;;;;;;;;44;;;58;;;;;;;;;33;;;33;58;;
;MINOTAUR;OL3-78;2;Barren;10 090;3;INIT;31;;;;59;;77;;;;;;;;;;62;;;;41;;;;;;;;;;;41;;;;;;;;41;;;59;;;;;;;;;31;;;31;59;;
;MINOTAUR;OL3-78;3;Barren;4 850;3;INIT;35;;;;53;;66;;;;;;;;;;65;;;;31;;;;;;;;;;;31;;;;;;;;31;;;53;;;;;;;;;35;;;35;53;;
;MINOTAUR;OL3-78;4;Gas;17 890;3;INIT;49;;;;57;;;;;;;;;;53;;;;61;;;;;;;;22;;;;;;;;49;;;;;;;;;22;;;;;;;53;;;;49;53;;
;MINOTAUR;OL3-78;5;Oceanic;3 440;3;INIT;101;;;;;;50;;63;;;;;;;;65;;;;;;;;56;;;;;;;;;;;;63;56;50;;;;;;;;;;;;;65;;56;;65;;
;MINOTAUR;OL3-78;6;Gas;38 670;3;INIT;49;;;;57;;;;;;;;;;55;;;;64;;;;;;;;18;;;;;;;;49;;;;;;;;;18;;;;;;;55;;;;49;55;;
;MINOTAUR;OL3-78;7;Temperate;9 790;3;INIT;80;;63;;;;73;;25;;;;;;;;38;;;;;;;;;;;;;;;;;;;;25;;25;;;;;;;63;;;;;;38;;;;63;;
;MINOTAUR;OL3-78;8;Storm;7 240;3;INIT;71;;;;73;;;;;;;;;;48;;;;51;;;;;;;;;;62;;;;;;48;;;;;;;;;;;;48;;62;;48;;;;71;71;;
;MINOTAUR;9DQW-W;1;Lava;1 890;3;INIT;;;;;44;;;;;;35;;72;;;;;;;;;;69;;;;;;50;;;;44;69;;;;;;;;35;;;;;;;;;;;50;;;69;;
;MINOTAUR;9DQW-W;2;Barren;2 110;3;INIT;34;;;;69;;93;;;;;;;;;;62;;;;47;;;;;;;;;;;47;;;;;;;;47;;;62;;;;;;;;;34;;;34;62;;
;MINOTAUR;9DQW-W;3;Storm;5 250;3;INIT;76;;;;72;;;;;;;;;;43;;;;58;;;;;;;;;;64;;;;;;43;;;;;;;;;;;;43;;64;;43;;;;72;72;;
;MINOTAUR;9DQW-W;4;Barren;3 390;3;INIT;37;;;;60;;83;;;;;;;;;;66;;;;41;;;;;;;;;;;41;;;;;;;;41;;;60;;;;;;;;;37;;;37;60;;
;MINOTAUR;9DQW-W;5;Plasma;3 040;3;INIT;;;;;33;;;;;;;;40;;;;;;;;64;;50;;;;;;34;;;;33;40;;40;;;;33;;;;;;;;;;;;;34;;;40;;
;MINOTAUR;9DQW-W;6;Barren;11 380;3;INIT;40;;;;63;;89;;;;;;;;;;68;;;;44;;;;;;;;;;;44;;;;;;;;44;;;63;;;;;;;;;40;;;40;63;;
;MINOTAUR;9DQW-W;7;Gas;14 260;3;INIT;55;;;;61;;;;;;;;;;60;;;;73;;;;;;;;34;;;;;;;;55;;;;;;;;;34;;;;;;;60;;;;55;60;;
;MINOTAUR;9DQW-W;8;Gas;16 410;3;INIT;56;;;;61;;;;;;;;;;59;;;;68;;;;;;;;33;;;;;;;;56;;;;;;;;;33;;;;;;;59;;;;56;59;;
;MINOTAUR;9DQW-W;9;Gas;13 050;3;INIT;53;;;;62;;;;;;;;;;60;;;;71;;;;;;;;22;;;;;;;;53;;;;;;;;;22;;;;;;;60;;;;53;60;;
;MINOTAUR;PXF-RF;1;Plasma;3 790;3;INIT;;;;;37;;;;;;;;45;;;;;;;;66;;51;;;;;;39;;;;37;45;;45;;;;37;;;;;;;;;;;;;39;;;45;;
;MINOTAUR;PXF-RF;2;Temperate;9 170;3;INIT;61;;74;;;;98;;39;;;;;;;;61;;;;;;;;;;;;;;;;;;;;39;;39;;;;;;;74;;;;;;61;;;;74;;
;MINOTAUR;PXF-RF;3;Gas;105 480;3;INIT;53;;;;66;;;;;;;;;;60;;;;72;;;;;;;;35;;;;;;;;53;;;;;;;;;35;;;;;;;60;;;;53;60;;
;MINOTAUR;PXF-RF;4;Gas;92 500;3;INIT;53;;;;64;;;;;;;;;;58;;;;72;;;;;;;;39;;;;;;;;53;;;;;;;;;39;;;;;;;58;;;;53;58;;
;MINOTAUR;PXF-RF;5;Ice;26 380;3;INIT;104;;;;;;;;;;;;101;;;;41;;41;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;41;;41;;41;;41;;
;MINOTAUR;PXF-RF;6;Ice;8 580;3;INIT;106;;;;;;;;;;;;101;;;;40;;38;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;38;;40;;40;;40;;
;MINOTAUR;PXF-RF;7;Barren;3 500;3;INIT;36;;;;68;;84;;;;;;;;;;62;;;;46;;;;;;;;;;;46;;;;;;;;46;;;62;;;;;;;;;36;;;36;62;;
;MINOTAUR;R-BGSU;1;Barren;5 200;3;INIT;30;;;;52;;65;;;;;;;;;;57;;;;36;;;;;;;;;;;36;;;;;;;;36;;;52;;;;;;;;;30;;;30;52;;
;MINOTAUR;R-BGSU;2;Lava;10 050;3;INIT;;;;;37;;;;;;6;;62;;;;;;;;;;69;;;;;;49;;;;37;62;;;;;;;;6;;;;;;;;;;;49;;;62;;
;MINOTAUR;R-BGSU;3;Gas;35 010;3;INIT;46;;;;54;;;;;;;;;;51;;;;57;;;;;;;;30;;;;;;;;46;;;;;;;;;30;;;;;;;51;;;;46;51;;
;MINOTAUR;R-BGSU;4;Barren;3 940;3;INIT;31;;;;53;;67;;;;;;;;;;55;;;;36;;;;;;;;;;;36;;;;;;;;36;;;53;;;;;;;;;31;;;31;53;;
;MINOTAUR;R-BGSU;5;Temperate;6 070;3;INIT;50;;85;;;;89;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;85;;;;;;2;;;;85;;
;MINOTAUR;R-BGSU;6;Gas;56 610;3;INIT;45;;;;55;;;;;;;;;;52;;;;60;;;;;;;;19;;;;;;;;45;;;;;;;;;19;;;;;;;52;;;;45;52;;
;MINOTAUR;R-BGSU;7;Gas;39 230;3;INIT;47;;;;51;;;;;;;;;;52;;;;59;;;;;;;;23;;;;;;;;47;;;;;;;;;23;;;;;;;52;;;;47;52;;
;MINOTAUR;R-BGSU;8;Ice;27 900;3;INIT;89;;;;;;;;;;;;87;;;;38;;36;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;36;;38;;38;;38;;
;MINOTAUR;R-BGSU;9;Ice;9 500;3;INIT;87;;;;;;;;;;;;85;;;;42;;34;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;34;;42;;42;;42;;
;HYDRA;I-CUVX;1;Barren;2 300;3;INIT;31;;;;49;;65;;;;;;;;;;56;;;;41;;;;;;;;;;;41;;;;;;;;41;;;49;;;;;;;;;31;;;31;49;;
;HYDRA;I-CUVX;2;Barren;3 540;3;INIT;32;;;;53;;76;;;;;;;;;;53;;;;42;;;;;;;;;;;42;;;;;;;;42;;;53;;;;;;;;;32;;;32;53;;
;HYDRA;I-CUVX;3;Barren;3 180;3;INIT;28;;;;59;;71;;;;;;;;;;58;;;;41;;;;;;;;;;;41;;;;;;;;41;;;58;;;;;;;;;28;;;28;58;;
;HYDRA;I-CUVX;4;Barren;3 190;3;INIT;31;;;;53;;63;;;;;;;;;;59;;;;37;;;;;;;;;;;37;;;;;;;;37;;;53;;;;;;;;;31;;;31;53;;
;HYDRA;I-CUVX;5;Oceanic;5 890;3;INIT;102;;;;;;64;;59;;;;;;;;62;;;;;;;;57;;;;;;;;;;;;59;57;59;;;;;;;;;;;;;62;;57;;62;;
;HYDRA;I-CUVX;6;Gas;25 660;3;INIT;46;;;;51;;;;;;;;;;50;;;;56;;;;;;;;29;;;;;;;;46;;;;;;;;;29;;;;;;;50;;;;46;50;;
;HYDRA;I-CUVX;7;Gas;23 470;3;INIT;45;;;;54;;;;;;;;;;53;;;;56;;;;;;;;15;;;;;;;;45;;;;;;;;;15;;;;;;;53;;;;45;53;;
;HYDRA;I-CUVX;8;Gas;45 560;3;INIT;48;;;;54;;;;;;;;;;52;;;;56;;;;;;;;26;;;;;;;;48;;;;;;;;;26;;;;;;;52;;;;48;52;;
;HYDRA;J-RQMF;1;Barren;2 410;3;INIT;29;;;;57;;70;;;;;;;;;;59;;;;37;;;;;;;;;;;37;;;;;;;;37;;;57;;;;;;;;;29;;;29;57;;
;HYDRA;J-RQMF;2;Barren;2 250;3;INIT;29;;;;54;;68;;;;;;;;;;57;;;;36;;;;;;;;;;;36;;;;;;;;36;;;54;;;;;;;;;29;;;29;54;;
;HYDRA;J-RQMF;3;Gas;16 500;3;INIT;45;;;;51;;;;;;;;;;49;;;;56;;;;;;;;32;;;;;;;;45;;;;;;;;;32;;;;;;;49;;;;45;49;;
;HYDRA;J-RQMF;4;Gas;24 620;3;INIT;48;;;;53;;;;;;;;;;52;;;;60;;;;;;;;31;;;;;;;;48;;;;;;;;;31;;;;;;;52;;;;48;52;;
;HYDRA;J-RQMF;5;Gas;15 730;3;INIT;46;;;;52;;;;;;;;;;49;;;;56;;;;;;;;34;;;;;;;;46;;;;;;;;;34;;;;;;;49;;;;46;49;;
;HYDRA;J-RQMF;6;Storm;12 640;3;INIT;50;;;;54;;;;;;;;;;43;;;;65;;;;;;;;;;50;;;;;;43;;;;;;;;;;;;43;;50;;43;;;;50;50;;
;HYDRA;J-RQMF;7;Gas;14 880;3;INIT;47;;;;55;;;;;;;;;;51;;;;62;;;;;;;;32;;;;;;;;47;;;;;;;;;32;;;;;;;51;;;;47;51;;
